Date,Close,Open,High,Low,Volume
2018-06-29,13514.40,13655.20,13795.90,13356.00,14160000
2018-07-05,14077.50,13675.30,14077.50,13549.60,14460000
2018-07-06,15560.70,15334.40,15686.40,15284.10,20880000
2018-07-08,12722.50,12722.50,12722.50,12599.40,13320000
2018-07-09,13971.90,13584.80,14007.10,13584.80,1480000
2018-07-11,13778.30,13936.70,14007.10,13778.30,770000
2018-07-12,12194.60,12282.60,12317.80,12159.40,9210000
2018-07-13,12529.00,12036.30,12546.60,11983.50,12950000
2018-07-16,12493.80,12704.90,12757.70,12441.00,9110000
2018-07-17,12704.90,12317.80,12722.50,12317.80,9250000
2018-07-18,13092.10,12775.30,13144.90,12704.90,17330000
2018-07-19,13092.10,13180.10,13285.60,13056.90,9620000
2018-07-20,12916.10,12951.30,13021.70,12757.70,13620000
2018-07-23,13004.10,13056.90,13232.80,12880.90,15320000
2018-07-24,12458.60,12986.50,13004.10,12353.00,33530000
2018-07-25,12493.80,12458.60,12599.40,12388.20,15670000
2018-07-26,12845.70,12493.80,12845.70,12458.60,2250000
2018-07-27,13127.30,12933.70,13144.90,12792.90,13170000
2018-07-30,13039.30,13232.80,13303.20,12986.50,16540000
2018-07-31,13144.90,12986.50,13250.40,12863.30,1580000
2018-08-05,14328.90,14052.40,14555.10,13876.40,17970000
2018-08-06,15409.80,15585.80,15585.80,15384.70,1380000
2018-08-08,12916.10,12740.10,12968.90,12704.90,940000
2018-08-10,14499.80,14499.80,14587.80,14447.00,10240000
2018-08-11,13690.40,14024.70,14024.70,13690.40,7670000
2018-08-13,13479.20,12986.50,13496.80,12916.10,31210000
2018-08-14,13549.60,13549.60,13690.40,13461.60,14550000
2018-08-15,13197.60,13549.60,13637.60,13127.30,12830000
2018-08-16,13197.60,13021.70,13268.00,13004.10,19150000
2018-08-17,13268.00,13338.40,13444.00,13180.10,10250000
2018-08-20,13109.70,13268.00,13268.00,13074.50,970000
2018-08-21,13197.60,13056.90,13197.60,13039.30,9370000
2018-08-22,13373.60,13232.80,13514.40,13180.10,16580000
2018-08-23,13408.80,13338.40,13496.80,13338.40,10540000
2018-08-24,13496.80,13373.60,13514.40,13303.20,15540000
2018-08-27,13708.00,13584.80,13831.10,13549.60,14970000
2018-08-28,14042.30,13725.60,14147.90,13725.60,30150000
2018-08-29,13936.70,14077.50,14306.30,13936.70,18830000
2018-08-30,13954.30,13936.70,14007.10,13778.30,17650000
2018-08-31,14059.90,14007.10,14200.70,13936.70,16790000
2018-09-04,15284.10,15233.90,15384.70,15083.00,17170000
2018-09-05,14328.90,14278.60,14454.60,14102.60,7730000
2018-09-07,12564.20,13197.60,13197.60,12458.60,10530000
2018-09-08,12863.30,12986.50,13092.10,12845.70,12560000
2018-09-10,14429.40,14605.40,14605.40,14429.40,10150000
2018-09-11,13232.80,13584.80,13672.80,13232.80,15630000
2018-09-13,13989.50,13971.90,14165.50,13901.50,13010000
2018-09-14,13901.50,14007.10,14095.10,13901.50,12740000
2018-09-17,13883.90,13831.10,13954.30,13778.30,650000
2018-09-18,13883.90,13795.90,13883.90,13655.20,19940000
2018-09-19,13954.30,14007.10,14042.30,13936.70,12290000
2018-09-20,14394.20,14042.30,14394.20,13971.90,27310000
2018-09-21,14535.00,14429.40,14570.20,14306.30,39080000
2018-09-24,14535.00,14675.80,14675.80,14464.60,12130000
2018-09-25,14517.40,14429.40,14570.20,14376.60,12250000
2018-09-26,14429.40,14517.40,14587.80,14429.40,13730000
2018-09-27,14623.00,14499.80,14640.60,14464.60,15310000
2018-09-28,14886.90,14640.60,14904.50,14605.40,26330000
2018-10-04,15284.10,15284.10,15359.60,15108.20,17830000
2018-10-05,13876.40,14253.50,14303.70,13826.10,10070000
2018-10-07,12493.80,12493.80,12704.90,12493.80,8280000
2018-10-08,13021.70,12828.10,13056.90,12828.10,11520000
2018-10-09,13795.90,13954.30,14007.10,13795.90,7050000
2018-10-10,14570.20,14464.60,14693.40,14411.80,18460000
2018-10-12,11877.90,12141.80,12177.00,11842.70,14780000
2018-10-15,14200.70,14323.80,14323.80,14147.90,11550000
2018-10-16,14341.40,14200.70,14341.40,14200.70,7960000
2018-10-17,14429.40,14499.80,14517.40,14376.60,14030000
2018-10-18,14429.40,14429.40,14482.20,14323.80,11180000
2018-10-19,14341.40,14323.80,14447.00,14218.30,13670000
2018-10-22,14112.70,14359.00,14411.80,14112.70,7020000
2018-10-23,13901.50,14059.90,14059.90,13690.40,27410000
